uuid;name;salary;birthday
9db5b197-623c-44c9-b6b9-505956ace6e9;Thalia;5949.97;20.05.1951 12:05
95969b17-31c5-4507-8472-51191a01b990;Jenda;9735.57;22.02.1969 9:02
164eb41d-5ca5-4e67-8a22-b1cd56352a6c;Caritta;6113.25;23.02.1964 1:02
aed77dfe-8525-4cf5-857b-891b29f93dc1;Tracey;1064.71;23.03.1959 5:03
3645e766-eceb-49c1-9087-a1de13dd10fe;Vonny;4852.4;26.07.1978 1:07
7c9e1057-f596-417d-908e-bcb212d29421;Corry;2182.83;07.08.1984 1:08
9526d209-c198-4bfb-9277-e2580b8447f0;Ariela;8475.58;13.03.1951 11:03
21ab69b4-3656-4c63-891d-b3cc2692d36e;Sophia;1929.27;05.03.1964 3:03
c5e0f281-dccf-4430-99e6-8a073a58870d;Bill;3759.62;01.01.1957 2:01
98975524-296a-4a70-953b-766dca523160;Gratia;3295.32;30.07.1950 1:07
39cb7dd1-6a6a-43b6-989e-ee5b83fb07ca;Amii;4339.46;13.01.1986 12:01
148e543c-3f8e-4874-8960-895bde413a2f;Lucille;1498.95;04.12.1961 10:12
6fe1c3c0-1a3d-4637-8aa6-c83a14627282;Ermengarde;4273.38;26.04.1972 10:04
8b3fabde-f49c-4fb8-85b7-04e690da600b;Lauryn;8103.6;18.11.1991 12:11
173d96da-a48c-44b8-b51e-58fe49f6cc74;Ketti;7216.94;06.05.2013 8:05
78e486c6-55c6-4f99-9dd2-70bb58eada58;Reeba;7615.47;30.01.1980 5:01
dfd7a77b-cdef-4dfe-8e9d-9b182eb587a8;Selia;1917.29;21.12.1952 7:12
a46a4e97-3d0f-4ae9-96b9-9395362746c8;Jan;4559.46;18.04.2014 10:04
09fa4785-34d2-4030-9057-d80fe1f95bd6;Romona;2265.5;31.03.1953 6:03
69c6694c-8bb4-467d-b0c0-42b738c570df;Rhoda;2763.21;08.10.1989 6:10
8ee64cfb-7e23-498c-ae5b-be34f61171d4;Maridel;7248.92;15.05.2008 6:05
339f75df-f992-45e4-a0fe-44dd6a152f53;Nickie;5387.84;26.02.1956 12:02
fb101552-2e29-4cd1-ac80-f8454e2b59ba;Mariann;3175.84;02.09.1951 2:09
